Trial  Epoch   LepIsoRank  MetPhiRank  MLLRank  ScoreRank  StatsScore     MLLKS     MetPhiKS  LepIsoKS  SortKey
11     30500   11535       3137        435      11674      2271.607597    0.084936  0.030521  0.575600  3572.000000
67     16500   8878        3337        239      10570      1830.985609    0.074067  0.031751  0.491443  3576.000000
9      79500   10323       2883        700      8497       1213.043140    0.094507  0.028715  0.535140  3583.000000
7      67500   3027        3296        289      3133       335.473982     0.077101  0.031521  0.331900  3585.000000
28     46500   4447        3288        297      969        202.977564     0.077418  0.031459  0.371100  3585.000000
69     73500   12529       2154        1441     10406      1766.974016    0.114818  0.023799  0.619074  3595.000000
69     83500   15019       2397        1204     10617      1849.510265    0.109321  0.025415  0.835000  3601.000000
23     71500   14475       2460        1144     14968      6752.342311    0.107540  0.025851  0.758049  3604.000000
56     75500   8238        2936        668      14538      5286.416528    0.093586  0.029124  0.473900  3604.000000
67     28000   10818       2061        1544     10986      1982.924412    0.117119  0.023236  0.550500  3605.000000
45     25000   14262       426         3180     15828      129262.998508  0.146689  0.010650  0.733800  3606.000000
69     82000   14268       717         2896     10112      1668.433448    0.142382  0.013393  0.734800  3613.000000
86     58000   7271        1403        2212     12289      2602.698416    0.130200  0.018547  0.446300  3615.000000
41     13000   6927        47          3570     7956       1085.453872    0.152624  0.006363  0.437300  3617.000000
86     54500   11192       881         2739     13935      4175.829062    0.139792  0.014664  0.563100  3620.000000
56     65500   11143       259         3370     14129      4450.307902    0.149368  0.009228  0.561000  3629.000000
49     43000   13848       1910        1739     5589       613.984387     0.121180  0.022138  0.700900  3649.000000
66     65500   10489       171         3481     10496      1799.333239    0.151086  0.008238  0.540105  3652.000000
63     92500   5218        2065        1592     4852       500.284482     0.118175  0.023255  0.392100  3657.000000
51     55000   3418        2219        1445     1613       243.861239     0.114891  0.024297  0.341900  3664.000000
76     90000   13309       1232        2435     9974       1617.857322    0.134415  0.017216  0.661800  3667.000000
2      99000   809         1364        2303     4553       461.464453     0.132085  0.018259  0.252500  3667.000000
44     17000   10035       3001        678      10828      1926.588916    0.093943  0.029629  0.525696  3679.000000
79     65000   13589       2469        1231     6094       701.205009     0.109831  0.025881  0.680700  3700.000000
56     66000   9030        1813        1888     9610       1504.329443    0.124158  0.021564  0.495750  3701.000000
86     57000   13604       111         3596     13358      3430.977262    0.152943  0.007411  0.681400  3707.000000
45     24500   14039       739         2981     15028      7121.489858    0.143565  0.013547  0.715261  3720.000000
